date,googlehits,team,odds,propTVMarketSize,winpct,attendance,attgame,payroll,date_ts,month,year,playoffs,phase,is_playoffs
2006-03-01,1,Arizona Diamondbacks,10000,1880000,0.469,2091685,25823,59984226,2006 Mar,3,2006,No Playoffs,Off-Season,0
2006-04-01,1,Arizona Diamondbacks,10000,1880000,0.469,2091685,25823,59984226,2006 Apr,4,2006,No Playoffs,Opening,0
2006-05-01,1,Arizona Diamondbacks,10000,1880000,0.469,2091685,25823,59984226,2006 May,5,2006,No Playoffs,Season,0
2006-06-01,1,Arizona Diamondbacks,10000,1880000,0.469,2091685,25823,59984226,2006 Jun,6,2006,No Playoffs,Season,0
2006-07-01,1,Arizona Diamondbacks,10000,1880000,0.469,2091685,25823,59984226,2006 Jul,7,2006,No Playoffs,Season,0
2006-08-01,1,Arizona Diamondbacks,10000,1880000,0.469,2091685,25823,59984226,2006 Aug,8,2006,No Playoffs,Season,0
2006-09-01,1,Arizona Diamondbacks,10000,1880000,0.469,2091685,25823,59984226,2006 Sep,9,2006,No Playoffs,Season,0
2006-10-01,0,Arizona Diamondbacks,10000,1880000,0.469,2091685,25823,59984226,2006 Oct,10,2006,No Playoffs,Playoffs,1
2006-11-01,0,Arizona Diamondbacks,10000,1880000,0.469,2091685,25823,59984226,2006 Nov,11,2006,No Playoffs,Off-Season,0
2006-12-01,0,Arizona Diamondbacks,10000,1880000,0.469,2091685,25823,59984226,2006 Dec,12,2006,No Playoffs,Off-Season,0
2007-01-01,0,Arizona Diamondbacks,5000,1880000,0.556,2325249,28707,52067546,2007 Jan,1,2007,Lost Semi,Off-Season,0
2007-02-01,1,Arizona Diamondbacks,5000,1880000,0.556,2325249,28707,52067546,2007 Feb,2,2007,Lost Semi,Off-Season,0
2007-03-01,1,Arizona Diamondbacks,5000,1880000,0.556,2325249,28707,52067546,2007 Mar,3,2007,Lost Semi,Off-Season,0
2007-04-01,1,Arizona Diamondbacks,5000,1880000,0.556,2325249,28707,52067546,2007 Apr,4,2007,Lost Semi,Opening,0
2007-05-01,1,Arizona Diamondbacks,5000,1880000,0.556,2325249,28707,52067546,2007 May,5,2007,Lost Semi,Season,0
2007-06-01,1,Arizona Diamondbacks,5000,1880000,0.556,2325249,28707,52067546,2007 Jun,6,2007,Lost Semi,Season,0
2007-07-01,1,Arizona Diamondbacks,5000,1880000,0.556,2325249,28707,52067546,2007 Jul,7,2007,Lost Semi,Season,0
2007-08-01,1,Arizona Diamondbacks,5000,1880000,0.556,2325249,28707,52067546,2007 Aug,8,2007,Lost Semi,Season,0
2007-09-01,1,Arizona Diamondbacks,5000,1880000,0.556,2325249,28707,52067546,2007 Sep,9,2007,Lost Semi,Season,0
2007-10-01,2,Arizona Diamondbacks,5000,1880000,0.556,2325249,28707,52067546,2007 Oct,10,2007,Lost Semi,Playoffs,1
2007-11-01,0,Arizona Diamondbacks,5000,1880000,0.556,2325249,28707,52067546,2007 Nov,11,2007,Lost Semi,Off-Season,0
2007-12-01,0,Arizona Diamondbacks,5000,1880000,0.556,2325249,28707,52067546,2007 Dec,12,2007,Lost Semi,Off-Season,0
2008-01-01,0,Arizona Diamondbacks,1800,1880000,0.506,2509924,30987,66202712,2008 Jan,1,2008,No Playoffs,Off-Season,0
2008-02-01,0,Arizona Diamondbacks,1800,1880000,0.506,2509924,30987,66202712,2008 Feb,2,2008,No Playoffs,Off-Season,0
2008-03-01,1,Arizona Diamondbacks,1800,1880000,0.506,2509924,30987,66202712,2008 Mar,3,2008,No Playoffs,Off-Season,0
2008-04-01,1,Arizona Diamondbacks,1800,1880000,0.506,2509924,30987,66202712,2008 Apr,4,2008,No Playoffs,Opening,0
2008-05-01,1,Arizona Diamondbacks,1800,1880000,0.506,2509924,30987,66202712,2008 May,5,2008,No Playoffs,Season,0
2008-06-01,1,Arizona Diamondbacks,1800,1880000,0.506,2509924,30987,66202712,2008 Jun,6,2008,No Playoffs,Season,0
2008-07-01,1,Arizona Diamondbacks,1800,1880000,0.506,2509924,30987,66202712,2008 Jul,7,2008,No Playoffs,Season,0
2008-08-01,1,Arizona Diamondbacks,1800,1880000,0.506,2509924,30987,66202712,2008 Aug,8,2008,No Playoffs,Season,0
2008-09-01,1,Arizona Diamondbacks,1800,1880000,0.506,2509924,30987,66202712,2008 Sep,9,2008,No Playoffs,Season,0
2008-10-01,0,Arizona Diamondbacks,1800,1880000,0.506,2509924,30987,66202712,2008 Oct,10,2008,No Playoffs,Playoffs,1
2008-11-01,0,Arizona Diamondbacks,1800,1880000,0.506,2509924,30987,66202712,2008 Nov,11,2008,No Playoffs,Off-Season,0
2008-12-01,0,Arizona Diamondbacks,1800,1880000,0.506,2509924,30987,66202712,2008 Dec,12,2008,No Playoffs,Off-Season,0
2009-01-01,0,Arizona Diamondbacks,2500,1880000,0.432,2128765,26281,75920666,2009 Jan,1,2009,No Playoffs,Off-Season,0
2009-02-01,0,Arizona Diamondbacks,2500,1880000,0.432,2128765,26281,75920666,2009 Feb,2,2009,No Playoffs,Off-Season,0
2009-03-01,1,Arizona Diamondbacks,2500,1880000,0.432,2128765,26281,75920666,2009 Mar,3,2009,No Playoffs,Off-Season,0
2009-04-01,1,Arizona Diamondbacks,2500,1880000,0.432,2128765,26281,75920666,2009 Apr,4,2009,No Playoffs,Opening,0
2009-05-01,1,Arizona Diamondbacks,2500,1880000,0.432,2128765,26281,75920666,2009 May,5,2009,No Playoffs,Season,0
2009-06-01,1,Arizona Diamondbacks,2500,1880000,0.432,2128765,26281,75920666,2009 Jun,6,2009,No Playoffs,Season,0
2009-07-01,1,Arizona Diamondbacks,2500,1880000,0.432,2128765,26281,75920666,2009 Jul,7,2009,No Playoffs,Season,0
2009-08-01,1,Arizona Diamondbacks,2500,1880000,0.432,2128765,26281,75920666,2009 Aug,8,2009,No Playoffs,Season,0
2009-09-01,1,Arizona Diamondbacks,2500,1880000,0.432,2128765,26281,75920666,2009 Sep,9,2009,No Playoffs,Season,0
2009-10-01,0,Arizona Diamondbacks,2500,1880000,0.432,2128765,26281,75920666,2009 Oct,10,2009,No Playoffs,Playoffs,1
2009-11-01,0,Arizona Diamondbacks,2500,1880000,0.432,2128765,26281,75920666,2009 Nov,11,2009,No Playoffs,Off-Season,0
2009-12-01,0,Arizona Diamondbacks,2500,1880000,0.432,2128765,26281,75920666,2009 Dec,12,2009,No Playoffs,Off-Season,0
2010-01-01,0,Arizona Diamondbacks,4000,1880000,0.401,2056941,NA,NA,2010 Jan,1,2010,No Playoffs,Off-Season,0
2010-02-01,0,Arizona Diamondbacks,4000,1880000,0.401,2056941,NA,NA,2010 Feb,2,2010,No Playoffs,Off-Season,0
2010-03-01,1,Arizona Diamondbacks,4000,1880000,0.401,2056941,NA,NA,2010 Mar,3,2010,No Playoffs,Off-Season,0
2010-04-01,1,Arizona Diamondbacks,4000,1880000,0.401,2056941,NA,NA,2010 Apr,4,2010,No Playoffs,Opening,0
2010-05-01,1,Arizona Diamondbacks,4000,1880000,0.401,2056941,NA,NA,2010 May,5,2010,No Playoffs,Season,0
2010-06-01,1,Arizona Diamondbacks,4000,1880000,0.401,2056941,NA,NA,2010 Jun,6,2010,No Playoffs,Season,0
2010-07-01,1,Arizona Diamondbacks,4000,1880000,0.401,2056941,NA,NA,2010 Jul,7,2010,No Playoffs,Season,0
2010-08-01,1,Arizona Diamondbacks,4000,1880000,0.401,2056941,NA,NA,2010 Aug,8,2010,No Playoffs,Season,0
2010-09-01,1,Arizona Diamondbacks,4000,1880000,0.401,2056941,NA,NA,2010 Sep,9,2010,No Playoffs,Season,0
2010-10-01,0,Arizona Diamondbacks,4000,1880000,0.401,2056941,NA,NA,2010 Oct,10,2010,No Playoffs,Playoffs,1
2010-11-01,0,Arizona Diamondbacks,4000,1880000,0.401,2056941,NA,NA,2010 Nov,11,2010,No Playoffs,Off-Season,0
2010-12-01,0,Arizona Diamondbacks,4000,1880000,0.401,2056941,NA,NA,2010 Dec,12,2010,No Playoffs,Off-Season,0
2011-01-01,0,Arizona Diamondbacks,8000,1880000,0.58,2105432,25993,54823166,2011 Jan,1,2011,Lost Quarter,Off-Season,0
2011-02-01,0,Arizona Diamondbacks,8000,1880000,0.58,2105432,25993,54823166,2011 Feb,2,2011,Lost Quarter,Off-Season,0
2011-03-01,1,Arizona Diamondbacks,8000,1880000,0.58,2105432,25993,54823166,2011 Mar,3,2011,Lost Quarter,Off-Season,0
2011-04-01,1,Arizona Diamondbacks,8000,1880000,0.58,2105432,25993,54823166,2011 Apr,4,2011,Lost Quarter,Opening,0
2011-05-01,1,Arizona Diamondbacks,8000,1880000,0.58,2105432,25993,54823166,2011 May,5,2011,Lost Quarter,Season,0
2011-06-01,1,Arizona Diamondbacks,8000,1880000,0.58,2105432,25993,54823166,2011 Jun,6,2011,Lost Quarter,Season,0
2011-07-01,1,Arizona Diamondbacks,8000,1880000,0.58,2105432,25993,54823166,2011 Jul,7,2011,Lost Quarter,Season,0
2011-08-01,2,Arizona Diamondbacks,8000,1880000,0.58,2105432,25993,54823166,2011 Aug,8,2011,Lost Quarter,Season,0
2011-09-01,2,Arizona Diamondbacks,8000,1880000,0.58,2105432,25993,54823166,2011 Sep,9,2011,Lost Quarter,Season,0
2011-10-01,1,Arizona Diamondbacks,8000,1880000,0.58,2105432,25993,54823166,2011 Oct,10,2011,Lost Quarter,Playoffs,1
2011-11-01,0,Arizona Diamondbacks,8000,1880000,0.58,2105432,25993,54823166,2011 Nov,11,2011,Lost Quarter,Off-Season,0
2011-12-01,0,Arizona Diamondbacks,8000,1880000,0.58,2105432,25993,54823166,2011 Dec,12,2011,Lost Quarter,Off-Season,0
2012-01-01,0,Arizona Diamondbacks,2800,1880000,0.5,2177617,26884,67069833,2012 Jan,1,2012,No Playoffs,Off-Season,0
2012-02-01,0,Arizona Diamondbacks,2800,1880000,0.5,2177617,26884,67069833,2012 Feb,2,2012,No Playoffs,Off-Season,0
2012-03-01,1,Arizona Diamondbacks,2800,1880000,0.5,2177617,26884,67069833,2012 Mar,3,2012,No Playoffs,Off-Season,0
2012-04-01,2,Arizona Diamondbacks,2800,1880000,0.5,2177617,26884,67069833,2012 Apr,4,2012,No Playoffs,Opening,0
2012-05-01,1,Arizona Diamondbacks,2800,1880000,0.5,2177617,26884,67069833,2012 May,5,2012,No Playoffs,Season,0
2012-06-01,1,Arizona Diamondbacks,2800,1880000,0.5,2177617,26884,67069833,2012 Jun,6,2012,No Playoffs,Season,0
2012-07-01,1,Arizona Diamondbacks,2800,1880000,0.5,2177617,26884,67069833,2012 Jul,7,2012,No Playoffs,Season,0
2012-08-01,1,Arizona Diamondbacks,2800,1880000,0.5,2177617,26884,67069833,2012 Aug,8,2012,No Playoffs,Season,0
2012-09-01,1,Arizona Diamondbacks,2800,1880000,0.5,2177617,26884,67069833,2012 Sep,9,2012,No Playoffs,Season,0
2012-10-01,0,Arizona Diamondbacks,2800,1880000,0.5,2177617,26884,67069833,2012 Oct,10,2012,No Playoffs,Playoffs,1
2012-11-01,0,Arizona Diamondbacks,2800,1880000,0.5,2177617,26884,67069833,2012 Nov,11,2012,No Playoffs,Off-Season,0
2012-12-01,0,Arizona Diamondbacks,2800,1880000,0.5,2177617,26884,67069833,2012 Dec,12,2012,No Playoffs,Off-Season,0
2013-01-01,0,Arizona Diamondbacks,4000,1880000,0.5,2134795,NA,NA,2013 Jan,1,2013,No Playoffs,Off-Season,0
2013-02-01,0,Arizona Diamondbacks,4000,1880000,0.5,2134795,NA,NA,2013 Feb,2,2013,No Playoffs,Off-Season,0
2013-03-01,1,Arizona Diamondbacks,4000,1880000,0.5,2134795,NA,NA,2013 Mar,3,2013,No Playoffs,Off-Season,0
2013-04-01,2,Arizona Diamondbacks,4000,1880000,0.5,2134795,NA,NA,2013 Apr,4,2013,No Playoffs,Opening,0
2013-05-01,1,Arizona Diamondbacks,4000,1880000,0.5,2134795,NA,NA,2013 May,5,2013,No Playoffs,Season,0
2013-06-01,2,Arizona Diamondbacks,4000,1880000,0.5,2134795,NA,NA,2013 Jun,6,2013,No Playoffs,Season,0
2013-07-01,2,Arizona Diamondbacks,4000,1880000,0.5,2134795,NA,NA,2013 Jul,7,2013,No Playoffs,Season,0
2013-08-01,1,Arizona Diamondbacks,4000,1880000,0.5,2134795,NA,NA,2013 Aug,8,2013,No Playoffs,Season,0
2013-09-01,1,Arizona Diamondbacks,4000,1880000,0.5,2134795,NA,NA,2013 Sep,9,2013,No Playoffs,Season,0
2013-10-01,0,Arizona Diamondbacks,4000,1880000,0.5,2134795,NA,NA,2013 Oct,10,2013,No Playoffs,Playoffs,1
2013-11-01,0,Arizona Diamondbacks,4000,1880000,0.5,2134795,NA,NA,2013 Nov,11,2013,No Playoffs,Off-Season,0
2013-12-01,0,Arizona Diamondbacks,4000,1880000,0.5,2134795,NA,NA,2013 Dec,12,2013,No Playoffs,Off-Season,0
2014-01-01,0,Arizona Diamondbacks,5000,1880000,0.395,2073730,25602,89926500,2014 Jan,1,2014,No Playoffs,Off-Season,0
2014-02-01,0,Arizona Diamondbacks,5000,1880000,0.395,2073730,25602,89926500,2014 Feb,2,2014,No Playoffs,Off-Season,0
2014-03-01,1,Arizona Diamondbacks,5000,1880000,0.395,2073730,25602,89926500,2014 Mar,3,2014,No Playoffs,Off-Season,0
2014-04-01,1,Arizona Diamondbacks,5000,1880000,0.395,2073730,25602,89926500,2014 Apr,4,2014,No Playoffs,Opening,0
2014-05-01,1,Arizona Diamondbacks,5000,1880000,0.395,2073730,25602,89926500,2014 May,5,2014,No Playoffs,Season,0
2014-06-01,1,Arizona Diamondbacks,5000,1880000,0.395,2073730,25602,89926500,2014 Jun,6,2014,No Playoffs,Season,0
2014-07-01,1,Arizona Diamondbacks,5000,1880000,0.395,2073730,25602,89926500,2014 Jul,7,2014,No Playoffs,Season,0
2014-08-01,1,Arizona Diamondbacks,5000,1880000,0.395,2073730,25602,89926500,2014 Aug,8,2014,No Playoffs,Season,0
2014-09-01,1,Arizona Diamondbacks,5000,1880000,0.395,2073730,25602,89926500,2014 Sep,9,2014,No Playoffs,Season,0
2014-10-01,0,Arizona Diamondbacks,5000,1880000,0.395,2073730,25602,89926500,2014 Oct,10,2014,No Playoffs,Playoffs,1
2014-11-01,0,Arizona Diamondbacks,5000,1880000,0.395,2073730,25602,89926500,2014 Nov,11,2014,No Playoffs,Off-Season,0
2014-12-01,0,Arizona Diamondbacks,5000,1880000,0.395,2073730,25602,89926500,2014 Dec,12,2014,No Playoffs,Off-Season,0
2015-01-01,0,Arizona Diamondbacks,15000,1880000,0.488,2080145,25681,64434000,2015 Jan,1,2015,No Playoffs,Off-Season,0
2015-02-01,0,Arizona Diamondbacks,15000,1880000,0.488,2080145,25681,64434000,2015 Feb,2,2015,No Playoffs,Off-Season,0
2015-03-01,1,Arizona Diamondbacks,15000,1880000,0.488,2080145,25681,64434000,2015 Mar,3,2015,No Playoffs,Off-Season,0
2015-04-01,2,Arizona Diamondbacks,15000,1880000,0.488,2080145,25681,64434000,2015 Apr,4,2015,No Playoffs,Opening,0
2015-05-01,1,Arizona Diamondbacks,15000,1880000,0.488,2080145,25681,64434000,2015 May,5,2015,No Playoffs,Season,0
2015-06-01,2,Arizona Diamondbacks,15000,1880000,0.488,2080145,25681,64434000,2015 Jun,6,2015,No Playoffs,Season,0
2015-07-01,2,Arizona Diamondbacks,15000,1880000,0.488,2080145,25681,64434000,2015 Jul,7,2015,No Playoffs,Season,0
2015-08-01,1,Arizona Diamondbacks,15000,1880000,0.488,2080145,25681,64434000,2015 Aug,8,2015,No Playoffs,Season,0
2015-09-01,1,Arizona Diamondbacks,15000,1880000,0.488,2080145,25681,64434000,2015 Sep,9,2015,No Playoffs,Season,0
2015-10-01,0,Arizona Diamondbacks,15000,1880000,0.488,2080145,25681,64434000,2015 Oct,10,2015,No Playoffs,Playoffs,1
2015-11-01,0,Arizona Diamondbacks,15000,1880000,0.488,2080145,25681,64434000,2015 Nov,11,2015,No Playoffs,Off-Season,0
2015-12-01,1,Arizona Diamondbacks,15000,1880000,0.488,2080145,25681,64434000,2015 Dec,12,2015,No Playoffs,Off-Season,0
2016-01-01,0,Arizona Diamondbacks,2500,1880000,0.426,2036216,25138,78399500,2016 Jan,1,2016,No Playoffs,Off-Season,0
2016-02-01,1,Arizona Diamondbacks,2500,1880000,0.426,2036216,25138,78399500,2016 Feb,2,2016,No Playoffs,Off-Season,0
2016-03-01,1,Arizona Diamondbacks,2500,1880000,0.426,2036216,25138,78399500,2016 Mar,3,2016,No Playoffs,Off-Season,0
2016-04-01,3,Arizona Diamondbacks,2500,1880000,0.426,2036216,25138,78399500,2016 Apr,4,2016,No Playoffs,Opening,0
2016-05-01,2,Arizona Diamondbacks,2500,1880000,0.426,2036216,25138,78399500,2016 May,5,2016,No Playoffs,Season,0
2016-06-01,2,Arizona Diamondbacks,2500,1880000,0.426,2036216,25138,78399500,2016 Jun,6,2016,No Playoffs,Season,0
2016-07-01,1,Arizona Diamondbacks,2500,1880000,0.426,2036216,25138,78399500,2016 Jul,7,2016,No Playoffs,Season,0
2016-08-01,1,Arizona Diamondbacks,2500,1880000,0.426,2036216,25138,78399500,2016 Aug,8,2016,No Playoffs,Season,0
2016-09-01,1,Arizona Diamondbacks,2500,1880000,0.426,2036216,25138,78399500,2016 Sep,9,2016,No Playoffs,Season,0
2016-10-01,0,Arizona Diamondbacks,2500,1880000,0.426,2036216,25138,78399500,2016 Oct,10,2016,No Playoffs,Playoffs,1
2016-11-01,0,Arizona Diamondbacks,2500,1880000,0.426,2036216,25138,78399500,2016 Nov,11,2016,No Playoffs,Off-Season,0
2016-12-01,0,Arizona Diamondbacks,2500,1880000,0.426,2036216,25138,78399500,2016 Dec,12,2016,No Playoffs,Off-Season,0
2017-01-01,0,Arizona Diamondbacks,13000,1880000,0.574,2134375,26350,106580200,2017 Jan,1,2017,Lost Quarter,Off-Season,0
2017-02-01,0,Arizona Diamondbacks,13000,1880000,0.574,2134375,26350,106580200,2017 Feb,2,2017,Lost Quarter,Off-Season,0
2017-03-01,1,Arizona Diamondbacks,13000,1880000,0.574,2134375,26350,106580200,2017 Mar,3,2017,Lost Quarter,Off-Season,0
2017-04-01,2,Arizona Diamondbacks,13000,1880000,0.574,2134375,26350,106580200,2017 Apr,4,2017,Lost Quarter,Opening,0
2017-05-01,2,Arizona Diamondbacks,13000,1880000,0.574,2134375,26350,106580200,2017 May,5,2017,Lost Quarter,Season,0
2017-06-01,3,Arizona Diamondbacks,13000,1880000,0.574,2134375,26350,106580200,2017 Jun,6,2017,Lost Quarter,Season,0
2017-07-01,3,Arizona Diamondbacks,13000,1880000,0.574,2134375,26350,106580200,2017 Jul,7,2017,Lost Quarter,Season,0
2017-08-01,2,Arizona Diamondbacks,13000,1880000,0.574,2134375,26350,106580200,2017 Aug,8,2017,Lost Quarter,Season,0
2017-09-01,3,Arizona Diamondbacks,13000,1880000,0.574,2134375,26350,106580200,2017 Sep,9,2017,Lost Quarter,Season,0
2017-10-01,3,Arizona Diamondbacks,13000,1880000,0.574,2134375,26350,106580200,2017 Oct,10,2017,Lost Quarter,Playoffs,1
2017-11-01,0,Arizona Diamondbacks,13000,1880000,0.574,2134375,26350,106580200,2017 Nov,11,2017,Lost Quarter,Off-Season,0
2017-12-01,0,Arizona Diamondbacks,13000,1880000,0.574,2134375,26350,106580200,2017 Dec,12,2017,Lost Quarter,Off-Season,0
2018-01-01,0,Arizona Diamondbacks,3000,1880000,0.506,2242695,27688,134850600,2018 Jan,1,2018,No Playoffs,Off-Season,0
2018-02-01,1,Arizona Diamondbacks,3000,1880000,0.506,2242695,27688,134850600,2018 Feb,2,2018,No Playoffs,Off-Season,0
2018-03-01,1,Arizona Diamondbacks,3000,1880000,0.506,2242695,27688,134850600,2018 Mar,3,2018,No Playoffs,Off-Season,0
2018-04-01,3,Arizona Diamondbacks,3000,1880000,0.506,2242695,27688,134850600,2018 Apr,4,2018,No Playoffs,Opening,0
2018-05-01,3,Arizona Diamondbacks,3000,1880000,0.506,2242695,27688,134850600,2018 May,5,2018,No Playoffs,Season,0
2018-06-01,3,Arizona Diamondbacks,3000,1880000,0.506,2242695,27688,134850600,2018 Jun,6,2018,No Playoffs,Season,0
2018-07-01,3,Arizona Diamondbacks,3000,1880000,0.506,2242695,27688,134850600,2018 Jul,7,2018,No Playoffs,Season,0
2018-08-01,3,Arizona Diamondbacks,3000,1880000,0.506,2242695,27688,134850600,2018 Aug,8,2018,No Playoffs,Season,0
2018-09-01,3,Arizona Diamondbacks,3000,1880000,0.506,2242695,27688,134850600,2018 Sep,9,2018,No Playoffs,Season,0
2018-10-01,0,Arizona Diamondbacks,3000,1880000,0.506,2242695,27688,134850600,2018 Oct,10,2018,No Playoffs,Playoffs,1
2018-11-01,0,Arizona Diamondbacks,3000,1880000,0.506,2242695,27688,134850600,2018 Nov,11,2018,No Playoffs,Off-Season,0
2018-12-01,0,Arizona Diamondbacks,3000,1880000,0.506,2242695,27688,134850600,2018 Dec,12,2018,No Playoffs,Off-Season,0
2019-01-01,0,Arizona Diamondbacks,20000,1880000,0.525,2135510,26364,124016266,2019 Jan,1,2019,No Playoffs,Off-Season,0
2019-02-01,1,Arizona Diamondbacks,20000,1880000,0.525,2135510,26364,124016266,2019 Feb,2,2019,No Playoffs,Off-Season,0
2019-03-01,1,Arizona Diamondbacks,20000,1880000,0.525,2135510,26364,124016266,2019 Mar,3,2019,No Playoffs,Off-Season,0
2019-04-01,2,Arizona Diamondbacks,20000,1880000,0.525,2135510,26364,124016266,2019 Apr,4,2019,No Playoffs,Opening,0
2019-05-01,2,Arizona Diamondbacks,20000,1880000,0.525,2135510,26364,124016266,2019 May,5,2019,No Playoffs,Season,0
2019-06-01,3,Arizona Diamondbacks,20000,1880000,0.525,2135510,26364,124016266,2019 Jun,6,2019,No Playoffs,Season,0
2019-07-01,2,Arizona Diamondbacks,20000,1880000,0.525,2135510,26364,124016266,2019 Jul,7,2019,No Playoffs,Season,0
2019-08-01,2,Arizona Diamondbacks,20000,1880000,0.525,2135510,26364,124016266,2019 Aug,8,2019,No Playoffs,Season,0
2019-09-01,2,Arizona Diamondbacks,20000,1880000,0.525,2135510,26364,124016266,2019 Sep,9,2019,No Playoffs,Season,0
2019-10-01,0,Arizona Diamondbacks,20000,1880000,0.525,2135510,26364,124016266,2019 Oct,10,2019,No Playoffs,Playoffs,1
2019-11-01,0,Arizona Diamondbacks,20000,1880000,0.525,2135510,26364,124016266,2019 Nov,11,2019,No Playoffs,Off-Season,0
2019-12-01,0,Arizona Diamondbacks,20000,1880000,0.525,2135510,26364,124016266,2019 Dec,12,2019,No Playoffs,Off-Season,0
2020-01-01,0,Arizona Diamondbacks,6600,1880000,NA,NA,NA,NA,2020 Jan,1,2020,NA,Off-Season,0
2020-02-01,1,Arizona Diamondbacks,6600,1880000,NA,NA,NA,NA,2020 Feb,2,2020,NA,Off-Season,0
2020-03-01,0,Arizona Diamondbacks,6600,1880000,NA,NA,NA,NA,2020 Mar,3,2020,NA,Off-Season,0
2020-04-01,0,Arizona Diamondbacks,6600,1880000,NA,NA,NA,NA,2020 Apr,4,2020,NA,Opening,0
2020-05-01,0,Arizona Diamondbacks,6600,1880000,NA,NA,NA,NA,2020 May,5,2020,NA,Season,0
2020-06-01,0,Arizona Diamondbacks,6600,1880000,NA,NA,NA,NA,2020 Jun,6,2020,NA,Season,0
2020-07-01,0,Arizona Diamondbacks,6600,1880000,NA,NA,NA,NA,2020 Jul,7,2020,NA,Season,0
2004-01-01,1,Atlanta Braves,1200,2269000,0.593,2327565,28735,90182500,2004 Jan,1,2004,Lost Quarter,Off-Season,0
2004-02-01,1,Atlanta Braves,1200,2269000,0.593,2327565,28735,90182500,2004 Feb,2,2004,Lost Quarter,Off-Season,0
2004-03-01,2,Atlanta Braves,1200,2269000,0.593,2327565,28735,90182500,2004 Mar,3,2004,Lost Quarter,Off-Season,0
2004-04-01,3,Atlanta Braves,1200,2269000,0.593,2327565,28735,90182500,2004 Apr,4,2004,Lost Quarter,Opening,0
